epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,18785.7,0.84814,0.54022,0.91804,0.74118,0.54005,0.60877,0.4034,0.96254,0.6548,0.97546,0.000386304,0.000386304,0.000386304
67,19081.5,0.85102,0.54178,0.91933,0.79713,0.52378,0.61372,0.40875,0.9616,0.6477,0.97363,0.000379431,0.000379431,0.000379431
68,19378.2,0.83718,0.52957,0.91363,0.75918,0.52852,0.61814,0.41035,0.9545,0.6407,0.97251,0.000372559,0.000372559,0.000372559
69,19673.1,0.83996,0.53235,0.91441,0.71341,0.53956,0.61054,0.41085,0.95546,0.64443,0.97149,0.000365687,0.000365687,0.000365687
70,19968.9,0.8342,0.52371,0.91054,0.70421,0.55684,0.61802,0.40708,0.95606,0.64729,0.97244,0.000358815,0.000358815,0.000358815
71,20265.1,0.83749,0.52485,0.91203,0.75335,0.53958,0.62032,0.41698,0.94645,0.64017,0.96947,0.000351942,0.000351942,0.000351942
72,20561.8,0.82961,0.52095,0.91102,0.73608,0.53718,0.61873,0.41639,0.95354,0.64156,0.97173,0.00034507,0.00034507,0.00034507
73,20849,0.82783,0.51776,0.91013,0.7235,0.56772,0.62219,0.40122,0.95616,0.64774,0.97176,0.000338198,0.000338198,0.000338198
74,21101.5,0.82163,0.5178,0.90921,0.70632,0.54035,0.6089,0.40979,0.95389,0.64356,0.97411,0.000331326,0.000331326,0.000331326
75,21362.1,0.8176,0.51251,0.90587,0.72669,0.5365,0.60756,0.41526,0.9542,0.64526,0.97328,0.000324453,0.000324453,0.000324453
76,21624.6,0.82506,0.51167,0.90618,0.70891,0.55163,0.60641,0.4071,0.95331,0.64586,0.97497,0.000317581,0.000317581,0.000317581
77,21891.1,0.81653,0.51364,0.9044,0.72234,0.56019,0.61317,0.41128,0.95062,0.64502,0.97438,0.000310709,0.000310709,0.000310709
78,22177.2,0.81565,0.50969,0.90737,0.75446,0.53553,0.61672,0.40589,0.94816,0.64591,0.97291,0.000303837,0.000303837,0.000303837
79,22441.2,0.81629,0.50909,0.90769,0.74286,0.5371,0.62166,0.40658,0.95174,0.64139,0.97328,0.000296964,0.000296964,0.000296964
80,22703.4,0.80642,0.50217,0.90265,0.73681,0.54338,0.62303,0.42261,0.95022,0.64433,0.97382,0.000290092,0.000290092,0.000290092
81,22965.2,0.81053,0.50371,0.90229,0.72997,0.55313,0.61985,0.41318,0.94781,0.64399,0.97481,0.00028322,0.00028322,0.00028322
82,23229.6,0.79957,0.49675,0.90089,0.74416,0.53085,0.60787,0.40614,0.95075,0.64091,0.97745,0.000276348,0.000276348,0.000276348
83,23495.1,0.80151,0.49656,0.89834,0.72196,0.5623,0.61411,0.41377,0.94814,0.64369,0.97452,0.000269475,0.000269475,0.000269475
84,23760,0.79436,0.4905,0.89669,0.72679,0.54878,0.62087,0.40878,0.94767,0.64486,0.9748,0.000262603,0.000262603,0.000262603
85,24024.6,0.79971,0.49298,0.89727,0.72072,0.55196,0.61894,0.41511,0.94474,0.64325,0.97416,0.000255731,0.000255731,0.000255731
86,24287.8,0.78816,0.48627,0.89456,0.75321,0.53016,0.60879,0.40814,0.9491,0.64197,0.97632,0.000248859,0.000248859,0.000248859
87,24550.8,0.79339,0.4854,0.89652,0.71858,0.5516,0.60667,0.40341,0.95017,0.6399,0.9768,0.000241986,0.000241986,0.000241986
88,24813.7,0.79378,0.48711,0.89494,0.72107,0.57574,0.61804,0.41138,0.95058,0.64307,0.97792,0.000235114,0.000235114,0.000235114
89,25075.7,0.7885,0.48459,0.89332,0.74271,0.56768,0.62463,0.40841,0.94989,0.63799,0.97858,0.000228242,0.000228242,0.000228242
90,25337.4,0.78544,0.48341,0.89545,0.70508,0.56732,0.61872,0.4069,0.94739,0.64426,0.97769,0.00022137,0.00022137,0.00022137
91,25599,0.78573,0.48245,0.89452,0.76292,0.53432,0.61201,0.40491,0.95043,0.6443,0.97832,0.000214497,0.000214497,0.000214497
92,25860.1,0.78383,0.4837,0.89307,0.72505,0.54962,0.61375,0.40263,0.94763,0.64066,0.97868,0.000207625,0.000207625,0.000207625
93,26121.6,0.77862,0.4751,0.8897,0.75773,0.54116,0.61543,0.41064,0.94524,0.6449,0.97563,0.000200753,0.000200753,0.000200753
94,26383.7,0.77214,0.47274,0.88844,0.72799,0.55802,0.61381,0.4081,0.94744,0.63947,0.97559,0.000193881,0.000193881,0.000193881
95,26645,0.77096,0.4714,0.88778,0.74201,0.55027,0.62054,0.41555,0.94386,0.63944,0.97494,0.000187008,0.000187008,0.000187008
96,26906,0.77653,0.47388,0.88857,0.76194,0.54201,0.61601,0.40757,0.94526,0.64449,0.97703,0.000180136,0.000180136,0.000180136
97,27166.7,0.77067,0.46786,0.88818,0.68677,0.55771,0.60881,0.40573,0.9469,0.64349,0.97571,0.000173264,0.000173264,0.000173264
98,27428.3,0.76367,0.46258,0.88519,0.72131,0.55683,0.6156,0.4101,0.94889,0.64239,0.97681,0.000166392,0.000166392,0.000166392
99,27689.6,0.76715,0.46675,0.88635,0.70552,0.56065,0.60839,0.406,0.95119,0.64468,0.9788,0.00015952,0.00015952,0.00015952
100,27950.9,0.76257,0.46203,0.88372,0.70344,0.57027,0.61271,0.40149,0.95267,0.64434,0.97959,0.000152647,0.000152647,0.000152647
101,28201.4,0.76425,0.46259,0.88624,0.71658,0.55569,0.61548,0.40763,0.95485,0.64722,0.98309,0.000145775,0.000145775,0.000145775
102,28441.1,0.7541,0.45976,0.88262,0.71161,0.56063,0.60867,0.40054,0.94882,0.64479,0.97867,0.000138903,0.000138903,0.000138903
103,28680.3,0.75805,0.46031,0.88307,0.71988,0.54911,0.60797,0.40469,0.94896,0.64659,0.97634,0.000132031,0.000132031,0.000132031
104,28919.6,0.76245,0.4595,0.88275,0.76781,0.53158,0.61508,0.4074,0.95171,0.64369,0.97772,0.000125158,0.000125158,0.000125158
105,29159,0.75425,0.45666,0.88184,0.72401,0.57342,0.60995,0.4044,0.95345,0.65108,0.97953,0.000118286,0.000118286,0.000118286
106,29397.5,0.7491,0.45217,0.88013,0.76023,0.54183,0.60964,0.41101,0.95234,0.64768,0.98289,0.000111414,0.000111414,0.000111414
107,29635.8,0.74626,0.45202,0.87918,0.70092,0.57867,0.6107,0.41147,0.9533,0.64723,0.9807,0.000104542,0.000104542,0.000104542
108,29877.5,0.74467,0.44963,0.8792,0.74931,0.55775,0.61107,0.40951,0.95156,0.64656,0.97885,9.76692e-05,9.76692e-05,9.76692e-05
109,30116.8,0.74672,0.44845,0.87976,0.72559,0.5468,0.60852,0.40916,0.95115,0.64598,0.97994,9.0797e-05,9.0797e-05,9.0797e-05
110,30356.9,0.74783,0.44862,0.87915,0.75309,0.54103,0.6079,0.40824,0.95235,0.64391,0.98078,8.39248e-05,8.39248e-05,8.39248e-05
111,30631,0.74924,0.44688,0.87603,0.68568,0.55427,0.60728,0.40008,0.96075,0.65108,0.98634,7.70525e-05,7.70525e-05,7.70525e-05
112,30868.6,0.74361,0.4415,0.87514,0.75501,0.50816,0.60352,0.40463,0.96019,0.64954,0.98513,7.01802e-05,7.01802e-05,7.01802e-05
113,31105.9,0.74042,0.43789,0.87471,0.77662,0.51259,0.60518,0.39824,0.95879,0.65247,0.98426,6.3308e-05,6.3308e-05,6.3308e-05
114,31343.2,0.7375,0.43644,0.87165,0.75963,0.52441,0.60363,0.40222,0.96121,0.65274,0.98735,5.64358e-05,5.64358e-05,5.64358e-05
115,31580.7,0.73484,0.43509,0.87056,0.73894,0.53281,0.60528,0.39992,0.9588,0.65057,0.98655,4.95635e-05,4.95635e-05,4.95635e-05
116,31817.7,0.73297,0.43158,0.87027,0.79978,0.51313,0.60384,0.40232,0.95875,0.65278,0.98564,4.26912e-05,4.26912e-05,4.26912e-05
117,32055.1,0.72784,0.42919,0.86753,0.73772,0.54418,0.6051,0.40314,0.95996,0.65401,0.98507,3.5819e-05,3.5819e-05,3.5819e-05
118,32297,0.72843,0.43,0.86779,0.72157,0.54298,0.60442,0.40079,0.95829,0.65483,0.98509,2.89468e-05,2.89468e-05,2.89468e-05
119,32538.9,0.72484,0.42726,0.86601,0.71628,0.54937,0.60679,0.40103,0.95877,0.6531,0.98507,2.20745e-05,2.20745e-05,2.20745e-05
120,32776.9,0.73006,0.42913,0.86741,0.71724,0.54457,0.60425,0.39912,0.95987,0.65601,0.9854,1.52022e-05,1.52022e-05,1.52022e-05
